Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.34174130018692 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 18:01:52.972668 True [  160035.976897] 0003 0036 00000617
2022-04-02 18:01:52.972668 True [  160035.988716] 0003 0036 00000615
2022-04-02 18:01:52.972668 True [  160036.002194] 0003 0035 00000413
2022-04-02 18:01:52.972668 True [  160036.002194] 0003 0036 00000614
2022-04-02 18:01:52.972668 True [  160036.012386] 0003 0035 00000416
2022-04-02 18:01:52.972668 True [  160036.012386] 0003 0036 0000060f
2022-04-02 18:01:52.972668 True [  160036.026188] 0003 0035 00000417
2022-04-02 18:01:52.972668 True [  160036.026188] 0003 0036 0000060c
2022-04-02 18:01:53.053226 True [  160036.039073] 0003 0035 00000419
2022-04-02 18:01:53.053226 True [  160036.039073] 0003 0036 0000060a
2022-04-02 18:01:53.053226 True [  160036.053029] 0003 0035 0000041b
2022-04-02 18:01:53.053226 True [  160036.053029] 0003 0036 00000605
2022-04-02 18:01:53.053226 True [  160036.060184] 0003 0035 0000041d
2022-04-02 18:01:53.053226 True [  160036.060184] 0003 0036 00000601
2022-04-02 18:01:53.053226 True [  160036.068270] 0003 0036 000005ff
2022-04-02 18:01:53.053226 True [  160036.082946] 0003 0035 0000041e
2022-04-02 18:01:53.053226 True [  160036.097999] 0003 0035 0000041f
2022-04-02 18:01:53.053226 True [  160036.097999] 0003 0036 000005fd
2022-04-02 18:01:53.053226 True [  160036.111323] 0003 0035 00000420
2022-04-02 18:01:53.053226 True [  160036.111323] 0003 0036 000005fa
2022-04-02 18:01:53.141352 True [  160036.125795] 0003 0035 00000421
2022-04-02 18:01:53.141352 True [  160036.125795] 0003 0036 000005f9
2022-04-02 18:01:53.141352 True [  160036.139837] 0003 0036 000005f8
2022-04-02 18:01:53.141352 True [  160036.155106] 0003 0036 000005f7
2022-04-02 18:01:53.141352 True [  160036.171764] 0003 0035 00000422
2022-04-02 18:01:53.148329 True [  160036.192858] 0003 0035 00000424
2022-04-02 18:01:53.148329 True [  160036.192858] 0003 0036 000005ff
2022-04-02 18:01:53.148329 True [  160036.203744] 0003 0036 00000601
2022-04-02 18:01:53.148329 True [  160036.217161] 0003 0036 00000603
2022-04-02 18:01:53.148329 True [  160036.231284] 0003 0035 00000425
2022-04-02 18:01:53.148329 True [  160036.231284] 0003 0036 00000604
2022-04-02 18:01:53.148329 True [  160036.242978] 0003 0035 00000426
2022-04-02 18:01:53.148329 True [  160036.242978] 0003 0036 00000607
2022-04-02 18:01:53.148329 True [  160036.254671] 0003 0036 00000608
2022-04-02 18:01:55.044298 True [  160038.164181] 0003 0035 00000453
2022-04-02 18:01:55.044298 False [  160038.164181] 0003 0036 000007fb
2022-04-02 18:01:55.199973 False [  160038.278433] 0003 0035 00000452
2022-04-02 18:01:55.200983 False [  160038.278433] 0003 0036 000007fc
2022-04-02 18:01:55.299564 False [  160038.295171] 0003 0035 00000451
2022-04-02 18:01:55.299564 False [  160038.295171] 0003 0036 000007fd
2022-04-02 18:01:55.299564 False [  160038.304067] 0003 0035 0000044d
2022-04-02 18:01:55.299564 False [  160038.304067] 0003 0036 000007ff
2022-04-02 18:01:55.299564 False [  160038.316113] 0003 0035 0000044c
2022-04-02 18:01:55.299564 False [  160038.316113] 0003 0036 00000800
2022-04-02 18:01:55.299564 False [  160038.327999] 0003 0035 00000449
2022-04-02 18:01:55.299564 False [  160038.327999] 0003 0036 00000801
2022-04-02 18:01:55.299564 False [  160038.340817] 0003 0035 00000445
2022-04-02 18:01:55.299564 False [  160038.340817] 0003 0036 00000802
2022-04-02 18:01:55.367905 False [  160038.355384] 0003 0035 00000439
2022-04-02 18:01:55.367905 False [  160038.355384] 0003 0036 00000803
2022-04-02 18:01:55.367905 False [  160038.369616] 0003 0035 0000041f
2022-04-02 18:01:55.367905 False [  160038.369616] 0003 0036 000007fe
2022-04-02 18:01:55.367905 False [  160038.383422] 0003 0035 00000410
2022-04-02 18:01:55.367905 False [  160038.383422] 0003 0036 000007fa
2022-04-02 18:01:55.367905 False [  160038.396632] 0003 0035 000003ee
2022-04-02 18:01:55.367905 False [  160038.396632] 0003 0036 000007eb
2022-04-02 18:01:55.367905 False [  160038.410889] 0003 0035 000003c7
2022-04-02 18:01:55.367905 False [  160038.410889] 0003 0036 000007d5
2022-04-02 18:01:55.367905 False [  160038.424035] 0003 0035 000003b3
2022-04-02 18:01:55.367905 False [  160038.424035] 0003 0036 000007c8
2022-04-02 18:01:55.367905 False [  160038.438514] 0003 0035 0000038f
2022-04-02 18:01:55.367905 False [  160038.438514] 0003 0036 000007ac
2022-04-02 18:01:55.390688 False [  160038.452792] 0003 0035 00000371
2022-04-02 18:01:55.390688 False [  160038.452792] 0003 0036 00000790
2022-04-02 18:01:55.390688 False [  160038.465315] 0003 0035 0000035c
2022-04-02 18:01:55.390688 False [  160038.465315] 0003 0036 00000779
2022-04-02 18:01:55.390688 False [  160038.478183] 0003 0035 00000358
2022-04-02 18:01:55.390688 False [  160038.478183] 0003 0036 00000771
2022-04-02 18:01:55.390688 False [  160038.490678] 0003 0035 00000353
2022-04-02 18:01:55.390688 False [  160038.490678] 0003 0036 0000076b
2022-04-02 18:01:55.439789 False [  160038.511515] 0003 0035 0000035a
2022-04-02 18:01:55.439789 False [  160038.511515] 0003 0036 00000771
2022-04-02 18:01:55.439789 False [  160038.519459] 0003 0035 00000369
2022-04-02 18:01:55.439789 False [  160038.519459] 0003 0036 0000077d
2022-04-02 18:01:55.439789 False [  160038.528064] 0003 0035 00000380
2022-04-02 18:01:55.439789 False [  160038.528064] 0003 0036 0000078d
2022-04-02 18:01:55.490211 False [  160038.536690] 0003 0035 00000395
2022-04-02 18:01:55.490211 False [  160038.536690] 0003 0036 0000079d
2022-04-02 18:01:55.490211 False [  160038.547066] 0003 0035 000003ab
2022-04-02 18:01:55.490211 False [  160038.547066] 0003 0036 000007ab
2022-04-02 18:01:55.490211 False [  160038.554941] 0003 0035 000003c0
2022-04-02 18:01:55.490211 False [  160038.554941] 0003 0036 000007bb
2022-04-02 18:01:55.490211 False [  160038.561135] 0003 0035 000003d3
2022-04-02 18:01:55.490211 False [  160038.561135] 0003 0036 000007cc
2022-04-02 18:01:55.490211 False [  160038.569410] 0003 0035 000003e4
2022-04-02 18:01:55.490211 False [  160038.569410] 0003 0036 000007da
2022-04-02 18:01:55.490211 False [  160038.579302] 0003 0035 000003f3
2022-04-02 18:01:55.490211 False [  160038.579302] 0003 0036 000007e9
2022-04-02 18:01:55.594732 False [  160038.591497] 0003 0035 000003ff
2022-04-02 18:01:55.594732 False [  160038.591497] 0003 0036 000007f7
2022-04-02 18:01:55.594732 False [  160038.603577] 0003 0035 00000409
2022-04-02 18:01:55.594732 False [  160038.603577] 0003 0036 00000805
2022-04-02 18:01:55.594732 False [  160038.611027] 0003 0035 00000415
2022-04-02 18:01:55.594732 False [  160038.611027] 0003 0036 00000819
2022-04-02 18:01:55.594732 False [  160038.622842] 0003 0035 00000418
2022-04-02 18:01:55.594732 False [  160038.622842] 0003 0036 00000820
2022-04-02 18:01:55.671928 False [  160038.627713] 0003 0036 00000827
2022-04-02 18:01:55.671928 False [  160038.641904] 0003 0035 00000417
2022-04-02 18:01:55.671928 False [  160038.641904] 0003 0036 00000828
2022-04-02 18:01:55.671928 False [  160038.652290] 0003 0035 00000416
2022-04-02 18:01:55.671928 False [  160038.665314] 0003 0035 0000040f
2022-04-02 18:01:55.671928 False [  160038.665314] 0003 0036 0000082c
2022-04-02 18:01:55.671928 False [  160038.678089] 0003 0035 0000040a
2022-04-02 18:01:55.671928 False [  160038.690564] 0003 0035 000003f5
2022-04-02 18:01:55.671928 False [  160038.690564] 0003 0036 00000827
2022-04-02 18:01:55.671928 False [  160038.703745] 0003 0035 000003e8
2022-04-02 18:01:55.671928 False [  160038.703745] 0003 0036 00000822
2022-04-02 18:01:55.671928 False [  160038.710802] 0003 0035 000003d6
2022-04-02 18:01:55.671928 False [  160038.710802] 0003 0036 00000818
2022-04-02 18:01:55.671928 False [  160038.722630] 0003 0035 000003cf
2022-04-02 18:01:55.671928 False [  160038.722630] 0003 0036 00000813
2022-04-02 18:01:55.671928 False [  160038.733918] 0003 0035 000003ca
2022-04-02 18:01:55.671928 False [  160038.733918] 0003 0036 0000080e
2022-04-02 18:01:55.747342 False [  160038.747748] 0003 0035 000003c7
2022-04-02 18:01:55.747342 False [  160038.747748] 0003 0036 0000080a
2022-04-02 18:01:55.747342 False [  160038.760735] 0003 0035 000003c5
2022-04-02 18:01:55.747342 False [  160038.760735] 0003 0036 00000801
2022-04-02 18:01:55.747342 False [  160038.771553] 0003 0036 000007fd
2022-04-02 18:01:55.747342 False [  160038.785108] 0003 0035 000003d6
2022-04-02 18:01:55.747342 False [  160038.785108] 0003 0036 000007f9
2022-04-02 18:01:55.747342 False [  160038.797521] 0003 0035 000003e0
2022-04-02 18:01:55.747342 False [  160038.797521] 0003 0036 000007f6
2022-04-02 18:01:55.747342 False [  160038.802129] 0003 0035 0000040c
2022-04-02 18:01:55.747342 False [  160038.802129] 0003 0036 000007f3
2022-04-02 18:01:55.747342 False [  160038.811150] 0003 0035 00000433
2022-04-02 18:01:55.747342 False [  160038.811150] 0003 0036 000007f4
2022-04-02 18:01:55.795124 False [  160038.818642] 0003 0035 00000444
2022-04-02 18:01:55.795124 False [  160038.818642] 0003 0036 000007f6
2022-04-02 18:01:55.795124 False [  160038.829233] 0003 0035 0000046c
2022-04-02 18:01:55.795124 False [  160038.829233] 0003 0036 000007fb
2022-04-02 18:01:55.795124 False [  160038.838161] 0003 0035 0000047d
2022-04-02 18:01:55.795124 False [  160038.838161] 0003 0036 000007fe
2022-04-02 18:01:55.795124 False [  160038.850525] 0003 0035 00000483
2022-04-02 18:01:55.795124 False [  160038.850525] 0003 0036 000007ff
2022-04-02 18:01:55.795124 False [  160038.863268] 0003 0035 00000499
2022-04-02 18:01:55.795124 False [  160038.863268] 0003 0036 00000803
2022-04-02 18:01:55.795124 False [  160038.877332] 0003 0035 000004ac
2022-04-02 18:01:55.795124 False [  160038.877332] 0003 0036 00000807
2022-04-02 18:01:55.795124 False [  160038.886080] 0003 0035 000004ad
2022-04-02 18:01:55.795124 False [  160038.886080] 0003 0036 00000808
2022-04-02 18:01:55.840580 False [  160038.893486] 0003 0035 000004a8
2022-04-02 18:01:55.840580 False [  160038.907828] 0003 0035 00000498
2022-04-02 18:01:55.840580 False [  160038.907828] 0003 0036 00000807
2022-04-02 18:01:55.840580 False [  160038.918462] 0003 0035 0000047a
2022-04-02 18:01:55.840580 False [  160038.918462] 0003 0036 00000805
2022-04-02 18:01:55.840580 False [  160038.929406] 0003 0035 00000435
2022-04-02 18:01:55.840580 False [  160038.929406] 0003 0036 000007fe
2022-04-02 18:01:55.840580 False [  160038.935021] 0003 0035 00000411
2022-04-02 18:01:55.840580 False [  160038.935021] 0003 0036 000007fb
2022-04-02 18:01:55.865714 False [  160038.944989] 0003 0035 000003eb
2022-04-02 18:01:55.865714 False [  160038.944989] 0003 0036 000007f8
2022-04-02 18:01:55.865714 False [  160038.959017] 0003 0035 000003c7
2022-04-02 18:01:55.865714 False [  160038.959017] 0003 0036 000007f5
