Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.692117123680261 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 16:37:44.996994 True [  154988.206400] 0003 0036 000003bb
2022-04-02 16:37:45.004822 True [  154988.214596] 0003 0035 0000022a
2022-04-02 16:37:45.004822 True [  154988.214596] 0003 0036 000003bf
2022-04-02 16:37:45.013694 True [  154988.223051] 0003 0035 00000228
2022-04-02 16:37:45.013694 True [  154988.223051] 0003 0036 000003c2
2022-04-02 16:37:45.021964 True [  154988.231247] 0003 0035 00000225
2022-04-02 16:37:45.022970 True [  154988.231247] 0003 0036 000003c5
2022-04-02 16:37:45.030340 True [  154988.239671] 0003 0035 00000224
2022-04-02 16:37:45.030340 True [  154988.239671] 0003 0036 000003c8
2022-04-02 16:37:45.038466 True [  154988.247899] 0003 0035 00000222
2022-04-02 16:37:45.038466 True [  154988.247899] 0003 0036 000003cb
2022-04-02 16:37:45.047200 True [  154988.256272] 0003 0035 0000021f
2022-04-02 16:37:45.047200 True [  154988.256272] 0003 0036 000003ce
2022-04-02 16:37:45.055303 True [  154988.264519] 0003 0035 0000021e
2022-04-02 16:37:45.055303 True [  154988.264519] 0003 0036 000003d1
2022-04-02 16:37:45.063583 True [  154988.272920] 0003 0035 0000021b
2022-04-02 16:37:45.063583 True [  154988.272920] 0003 0036 000003d4
2022-04-02 16:37:45.071729 True [  154988.281216] 0003 0035 0000021a
2022-04-02 16:37:45.071729 True [  154988.281216] 0003 0036 000003d7
2022-04-02 16:37:45.079927 True [  154988.289523] 0003 0035 00000217
2022-04-02 16:37:45.079927 True [  154988.289523] 0003 0036 000003db
2022-04-02 16:37:45.088545 True [  154988.297713] 0003 0035 00000216
2022-04-02 16:37:45.088545 True [  154988.297713] 0003 0036 000003de
2022-04-02 16:37:45.097286 True [  154988.306181] 0003 0035 00000214
2022-04-02 16:37:45.097286 True [  154988.306181] 0003 0036 000003e2
2022-04-02 16:37:45.105306 True [  154988.314371] 0003 0035 00000213
