Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 3.096564172022006 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 17:32:02.432874 True [  158245.583592] 0003 0036 0000045a
2022-04-02 17:32:02.440163 True [  158245.592092] 0003 0036 00000457
2022-04-02 17:32:02.442999 True [  158245.600259] 0003 0035 000004a2
2022-04-02 17:32:02.442999 True [  158245.600259] 0003 0036 00000455
2022-04-02 17:32:02.457576 True [  158245.608693] 0003 0036 00000452
2022-04-02 17:32:02.460276 True [  158245.616847] 0003 0036 0000044f
2022-04-02 17:32:02.466133 True [  158245.625621] 0003 0035 000004a3
2022-04-02 17:32:02.466133 True [  158245.625621] 0003 0036 0000044c
2022-04-02 17:32:02.476662 True [  158245.633474] 0003 0036 0000044a
2022-04-02 17:32:02.481293 True [  158245.641979] 0003 0035 000004a4
2022-04-02 17:32:02.481293 True [  158245.641979] 0003 0036 00000446
2022-04-02 17:32:02.490206 True [  158245.650116] 0003 0035 000004a5
2022-04-02 17:32:02.490206 True [  158245.650116] 0003 0036 00000443
2022-04-02 17:32:02.499054 True [  158245.658501] 0003 0036 0000043f
2022-04-02 17:32:02.509082 True [  158245.666939] 0003 0035 000004a6
2022-04-02 17:32:02.509082 True [  158245.666939] 0003 0036 0000043b
2022-04-02 17:32:02.513703 True [  158245.675144] 0003 0035 000004a8
2022-04-02 17:32:02.513703 True [  158245.675144] 0003 0036 00000437
2022-04-02 17:32:02.522968 True [  158245.683307] 0003 0035 000004a9
2022-04-02 17:32:02.522968 True [  158245.683307] 0003 0036 00000433
2022-04-02 17:32:02.532976 True [  158245.691911] 0003 0035 000004ab
2022-04-02 17:32:02.532976 True [  158245.691911] 0003 0036 0000042f
2022-04-02 17:32:02.542360 True [  158245.699900] 0003 0035 000004ad
2022-04-02 17:32:02.542360 True [  158245.699900] 0003 0036 00000429
2022-04-02 17:32:02.548584 True [  158245.708381] 0003 0035 000004af
2022-04-02 17:32:02.548584 True [  158245.708381] 0003 0036 00000425
