Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.659885543289989 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 13:39:12.598054 False [  144266.522837] 0003 0036 0000025f
2022-04-02 13:39:12.605951 False [  144266.531191] 0003 0035 00000150
2022-04-02 13:39:12.605951 False [  144266.531191] 0003 0036 00000261
2022-04-02 13:39:12.615372 False [  144266.539965] 0003 0035 00000152
2022-04-02 13:39:12.615372 False [  144266.539965] 0003 0036 00000264
2022-04-02 13:39:12.623262 False [  144266.548070] 0003 0035 00000153
2022-04-02 13:39:12.623262 False [  144266.548070] 0003 0036 00000265
2022-04-02 13:39:12.631049 False [  144266.556105] 0003 0035 00000154
2022-04-02 13:39:12.631049 False [  144266.556105] 0003 0036 00000268
2022-04-02 13:39:12.640225 False [  144266.564816] 0003 0035 00000155
2022-04-02 13:39:12.640225 False [  144266.564816] 0003 0036 0000026a
2022-04-02 13:39:12.647694 False [  144266.572990] 0003 0035 00000156
2022-04-02 13:39:12.647694 False [  144266.572990] 0003 0036 0000026d
2022-04-02 13:39:12.655864 False [  144266.580942] 0003 0035 00000158
2022-04-02 13:39:12.655864 False [  144266.580942] 0003 0036 0000026f
2022-04-02 13:39:12.664431 False [  144266.589713] 0003 0035 00000159
2022-04-02 13:39:12.664431 False [  144266.589713] 0003 0036 00000272
2022-04-02 13:39:12.671870 False [  144266.597729] 0003 0035 0000015a
2022-04-02 13:39:12.671870 False [  144266.597729] 0003 0036 00000275
2022-04-02 13:39:12.681300 False [  144266.606059] 0003 0035 0000015c
2022-04-02 13:39:12.681300 False [  144266.606059] 0003 0036 00000277
2022-04-02 13:39:12.690048 False [  144266.614367] 0003 0035 0000015d
2022-04-02 13:39:12.690048 False [  144266.614367] 0003 0036 0000027a
2022-04-02 13:39:12.697858 False [  144266.622840] 0003 0035 0000015e
2022-04-02 13:39:12.697858 False [  144266.622840] 0003 0036 0000027c
2022-04-02 13:39:12.705318 False [  144266.630963] 0003 0035 00000160
2022-04-02 13:39:12.705318 False [  144266.630963] 0003 0036 0000027f
2022-04-02 13:39:12.715525 False [  144266.639547] 0003 0035 00000161
2022-04-02 13:39:12.715525 False [  144266.639547] 0003 0036 00000282
2022-04-02 13:39:12.723349 False [  144266.647629] 0003 0035 00000162
2022-04-02 13:39:12.723349 False [  144266.647629] 0003 0036 00000285
2022-04-02 13:39:12.731411 False [  144266.656343] 0003 0035 00000164
