Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.1833950819581911 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 13:47:21.138210 False [  144755.054748] 0003 0036 00000363
2022-04-02 13:47:21.144921 False [  144755.063186] 0003 0035 00000158
2022-04-02 13:47:21.144921 False [  144755.063186] 0003 0036 00000366
2022-04-02 13:47:21.153428 False [  144755.071149] 0003 0035 0000015b
2022-04-02 13:47:21.153428 False [  144755.071149] 0003 0036 00000369
2022-04-02 13:47:21.161229 False [  144755.079883] 0003 0035 0000015d
2022-04-02 13:47:21.161229 False [  144755.079883] 0003 0036 0000036c
2022-04-02 13:47:21.170490 False [  144755.088001] 0003 0035 0000015f
2022-04-02 13:47:21.170490 False [  144755.088001] 0003 0036 0000036e
2022-04-02 13:47:21.179455 False [  144755.096978] 0003 0035 00000161
2022-04-02 13:47:21.179455 False [  144755.096978] 0003 0036 00000370
2022-04-02 13:47:21.186710 False [  144755.104517] 0003 0035 00000164
2022-04-02 13:47:21.186710 False [  144755.104517] 0003 0036 00000373
2022-04-02 13:47:21.195815 False [  144755.113220] 0003 0035 00000165
2022-04-02 13:47:21.195815 False [  144755.113220] 0003 0036 00000375
2022-04-02 13:47:21.203543 False [  144755.121123] 0003 0035 00000168
2022-04-02 13:47:21.203543 False [  144755.121123] 0003 0036 00000378
2022-04-02 13:47:21.211454 False [  144755.129649] 0003 0035 00000169
2022-04-02 13:47:21.211454 False [  144755.129649] 0003 0036 00000379
2022-04-02 13:47:21.220981 False [  144755.138016] 0003 0035 0000016c
2022-04-02 13:47:21.220981 False [  144755.138016] 0003 0036 0000037c
2022-04-02 13:47:21.228531 False [  144755.146274] 0003 0035 0000016f
2022-04-02 13:47:21.228531 False [  144755.146274] 0003 0036 0000037f
2022-04-02 13:47:21.235866 False [  144755.154654] 0003 0035 00000170
2022-04-02 13:47:21.236868 False [  144755.154654] 0003 0036 00000381
2022-04-02 13:47:21.245936 False [  144755.163237] 0003 0035 00000172
2022-04-02 13:47:21.245936 False [  144755.163237] 0003 0036 00000383
2022-04-02 13:47:21.255047 False [  144755.170929] 0003 0035 00000173
2022-04-02 13:47:21.255047 False [  144755.170929] 0003 0036 00000384
2022-04-02 13:47:21.262801 False [  144755.179553] 0003 0035 00000175
2022-04-02 13:47:21.262801 False [  144755.179553] 0003 0036 00000387
2022-04-02 13:47:21.269194 False [  144755.187520] 0003 0035 00000176
2022-04-02 13:47:21.269194 False [  144755.187520] 0003 0036 00000389
2022-04-02 13:47:21.277642 False [  144755.195974] 0003 0035 00000178
2022-04-02 13:47:21.277642 False [  144755.195974] 0003 0036 0000038a
2022-04-02 13:47:21.286939 False [  144755.204349] 0003 0035 0000017a
2022-04-02 13:47:21.286939 False [  144755.204349] 0003 0036 0000038c
2022-04-02 13:47:21.294835 False [  144755.213570] 0003 0035 0000017b
2022-04-02 13:47:21.294835 False [  144755.213570] 0003 0036 0000038e
2022-04-02 13:47:21.303851 False [  144755.220813] 0003 0035 0000017c
2022-04-02 13:47:21.303851 False [  144755.220813] 0003 0036 0000038f
2022-04-02 13:47:21.313021 False [  144755.229388] 0003 0035 0000017e
2022-04-02 13:47:21.313021 False [  144755.229388] 0003 0036 00000391
2022-04-02 13:47:21.320516 False [  144755.237419] 0003 0036 00000393
2022-04-02 13:47:21.328524 False [  144755.246002] 0003 0035 00000180
2022-04-02 13:47:21.328524 False [  144755.246002] 0003 0036 00000394
2022-04-02 13:47:21.335791 False [  144755.254091] 0003 0035 00000181
2022-04-02 13:47:21.335791 False [  144755.254091] 0003 0036 00000396
2022-04-02 13:47:21.344365 False [  144755.262376] 0003 0035 00000182
2022-04-02 13:47:21.344365 False [  144755.262376] 0003 0036 00000398
2022-04-02 13:47:21.352827 False [  144755.270708] 0003 0035 00000185
2022-04-02 13:47:21.352827 False [  144755.270708] 0003 0036 0000039a
2022-04-02 13:47:21.362713 False [  144755.279681] 0003 0035 00000186
2022-04-02 13:47:21.362713 False [  144755.279681] 0003 0036 0000039c
2022-04-02 13:47:21.370650 False [  144755.287279] 0003 0035 00000188
2022-04-02 13:47:21.370650 False [  144755.287279] 0003 0036 0000039e
2022-04-02 13:47:21.376933 False [  144755.295996] 0003 0035 00000189
2022-04-02 13:47:21.376933 False [  144755.295996] 0003 0036 0000039f
2022-04-02 13:47:21.386955 False [  144755.303956] 0003 0035 0000018a
2022-04-02 13:47:21.386955 False [  144755.303956] 0003 0036 000003a0
2022-04-02 13:47:21.395360 False [  144755.312634] 0003 0035 0000018c
2022-04-02 13:47:21.395360 False [  144755.312634] 0003 0036 000003a2
2022-04-02 13:47:21.403680 False [  144755.320590] 0003 0035 0000018d
2022-04-02 13:47:21.403680 False [  144755.320590] 0003 0036 000003a4
2022-04-02 13:47:21.411716 False [  144755.328955] 0003 0035 0000018e
2022-04-02 13:47:21.420814 False [  144755.337153] 0003 0035 0000018f
2022-04-02 13:47:21.420814 False [  144755.337153] 0003 0036 000003a6
2022-04-02 13:47:21.426998 False [  144755.345708] 0003 0035 00000190
2022-04-02 13:47:21.426998 False [  144755.345708] 0003 0036 000003a8
2022-04-02 13:47:21.436920 False [  144755.354953] 0003 0035 00000192
2022-04-02 13:47:21.436920 False [  144755.354953] 0003 0036 000003aa
2022-04-02 13:47:21.445569 False [  144755.362838] 0003 0035 00000193
2022-04-02 13:47:21.445569 False [  144755.362838] 0003 0036 000003ab
2022-04-02 13:47:21.453271 False [  144755.370329] 0003 0035 00000194
2022-04-02 13:47:21.453271 False [  144755.370329] 0003 0036 000003ad
2022-04-02 13:47:21.461625 False [  144755.379163] 0003 0035 00000196
2022-04-02 13:47:21.461625 False [  144755.379163] 0003 0036 000003ae
2022-04-02 13:47:21.469457 False [  144755.387032] 0003 0035 00000197
2022-04-02 13:47:21.469457 False [  144755.387032] 0003 0036 000003af
2022-04-02 13:47:21.478790 False [  144755.396140] 0003 0035 00000198
2022-04-02 13:47:21.478790 False [  144755.396140] 0003 0036 000003b0
2022-04-02 13:47:21.487107 False [  144755.403643] 0003 0035 00000199
2022-04-02 13:47:21.487107 False [  144755.403643] 0003 0036 000003b2
2022-04-02 13:47:21.494458 True [  144755.412251] 0003 0035 0000019a
2022-04-02 13:47:21.494458 True [  144755.412251] 0003 0036 000003b4
2022-04-02 13:47:21.503993 True [  144755.420769] 0003 0035 0000019b
2022-04-02 13:47:21.503993 True [  144755.420769] 0003 0036 000003b5
2022-04-02 13:47:21.509507 True [  144755.428616] 0003 0035 0000019e
2022-04-02 13:47:21.509507 True [  144755.428616] 0003 0036 000003b7
2022-04-02 13:47:21.521042 True [  144755.437177] 0003 0035 0000019f
2022-04-02 13:47:21.521042 True [  144755.437177] 0003 0036 000003b9
2022-04-02 13:47:21.528489 True [  144755.445442] 0003 0035 000001a0
2022-04-02 13:47:21.528489 True [  144755.445442] 0003 0036 000003ba
2022-04-02 13:47:21.536989 True [  144755.453867] 0003 0035 000001a1
2022-04-02 13:47:21.536989 True [  144755.453867] 0003 0036 000003bc
2022-04-02 13:47:21.546044 True [  144755.461913] 0003 0035 000001a3
2022-04-02 13:47:21.546044 True [  144755.461913] 0003 0036 000003bd
2022-04-02 13:47:21.552794 True [  144755.470292] 0003 0035 000001a4
2022-04-02 13:47:21.552794 True [  144755.470292] 0003 0036 000003bf
2022-04-02 13:47:21.560818 True [  144755.478449] 0003 0035 000001a5
2022-04-02 13:47:21.560818 True [  144755.478449] 0003 0036 000003c0
2022-04-02 13:47:21.568961 True [  144755.486808] 0003 0035 000001a6
2022-04-02 13:47:21.568961 True [  144755.486808] 0003 0036 000003c2
2022-04-02 13:47:21.577872 True [  144755.495486] 0003 0035 000001a8
2022-04-02 13:47:21.577872 True [  144755.495486] 0003 0036 000003c3
2022-04-02 13:47:21.586799 True [  144755.503418] 0003 0036 000003c4
2022-04-02 13:47:21.595610 True [  144755.512559] 0003 0035 000001a9
2022-04-02 13:47:21.595610 True [  144755.512559] 0003 0036 000003c6
2022-04-02 13:47:21.602517 True [  144755.519920] 0003 0035 000001ab
2022-04-02 13:47:21.602517 True [  144755.519920] 0003 0036 000003c8
2022-04-02 13:47:21.609816 True [  144755.528355] 0003 0035 000001ac
2022-04-02 13:47:21.609816 True [  144755.528355] 0003 0036 000003c9
2022-04-02 13:47:21.618042 True [  144755.536555] 0003 0035 000001ad
2022-04-02 13:47:21.619009 True [  144755.536555] 0003 0036 000003cb
2022-04-02 13:47:21.635546 True [  144755.553191] 0003 0035 000001ae
2022-04-02 13:47:21.635546 True [  144755.553191] 0003 0036 000003cc
2022-04-02 13:47:21.644270 True [  144755.561758] 0003 0035 000001b0
2022-04-02 13:47:21.644270 True [  144755.561758] 0003 0036 000003ce
2022-04-02 13:47:21.654312 True [  144755.569977] 0003 0036 000003d0
2022-04-02 13:47:21.661322 True [  144755.578641] 0003 0035 000001b1
2022-04-02 13:47:21.661322 True [  144755.578641] 0003 0036 000003d1
2022-04-02 13:47:21.678014 True [  144755.594959] 0003 0035 000001b3
2022-04-02 13:47:21.678014 True [  144755.594959] 0003 0036 000003d3
2022-04-02 13:47:21.685402 True [  144755.603022] 0003 0035 000001b5
2022-04-02 13:47:21.685402 True [  144755.603022] 0003 0036 000003d5
2022-04-02 13:47:21.693746 True [  144755.611851] 0003 0035 000001b7
2022-04-02 13:47:21.693746 True [  144755.611851] 0003 0036 000003d6
2022-04-02 13:47:21.702740 True [  144755.619628] 0003 0035 000001b8
2022-04-02 13:47:21.702740 True [  144755.619628] 0003 0036 000003d7
2022-04-02 13:47:21.710501 True [  144755.628272] 0003 0035 000001b9
2022-04-02 13:47:21.710501 True [  144755.628272] 0003 0036 000003d8
2022-04-02 13:47:21.720733 True [  144755.636390] 0003 0035 000001ba
2022-04-02 13:47:21.720733 True [  144755.636390] 0003 0036 000003d9
2022-04-02 13:47:21.779359 True [  144755.694827] 0003 0035 000001b9
2022-04-02 13:47:21.784348 True [  144755.702832] 0003 0036 000003d8
