Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 1.0747089519444473 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 17:28:07.757528 False [  158010.911721] 0003 0036 0000041c
2022-04-02 17:28:07.757528 False [  158010.919704] 0003 0035 000004f0
2022-04-02 17:28:07.757528 False [  158010.919704] 0003 0036 00000428
2022-04-02 17:28:07.764474 False [  158010.928135] 0003 0035 000004de
2022-04-02 17:28:07.764474 False [  158010.928135] 0003 0036 00000434
2022-04-02 17:28:07.772637 False [  158010.936107] 0003 0035 000004d0
2022-04-02 17:28:07.772637 True [  158010.936107] 0003 0036 00000441
2022-04-02 17:28:07.782112 True [  158010.944633] 0003 0035 000004c3
2022-04-02 17:28:07.782112 True [  158010.944633] 0003 0036 0000044d
2022-04-02 17:28:07.788783 True [  158010.952753] 0003 0035 000004ba
2022-04-02 17:28:07.788783 True [  158010.952753] 0003 0036 00000455
2022-04-02 17:28:07.798031 True [  158010.961320] 0003 0035 000004b4
2022-04-02 17:28:07.798031 True [  158010.961320] 0003 0036 0000045c
2022-04-02 17:28:07.806985 True [  158010.969377] 0003 0035 000004b2
2022-04-02 17:28:07.806985 True [  158010.969377] 0003 0036 00000460
2022-04-02 17:28:07.813526 True [  158010.977805] 0003 0035 000004b3
2022-04-02 17:28:07.813526 True [  158010.977805] 0003 0036 00000462
2022-04-02 17:28:07.824456 True [  158010.986245] 0003 0036 00000463
2022-04-02 17:28:07.833441 True [  158010.994276] 0003 0035 000004b5
2022-04-02 17:28:07.840195 True [  158011.002627] 0003 0035 000004ba
2022-04-02 17:28:07.840195 True [  158011.002627] 0003 0036 00000461
2022-04-02 17:28:07.848555 True [  158011.010942] 0003 0035 000004bf
2022-04-02 17:28:07.848555 True [  158011.010942] 0003 0036 00000460
2022-04-02 17:28:07.856955 True [  158011.019132] 0003 0035 000004d0
2022-04-02 17:28:07.856955 True [  158011.019132] 0003 0036 0000045a
2022-04-02 17:28:07.862698 True [  158011.027636] 0003 0035 000004da
2022-04-02 17:28:07.862698 True [  158011.027636] 0003 0036 00000457
2022-04-02 17:28:07.873407 True [  158011.036114] 0003 0035 000004f0
2022-04-02 17:28:07.873407 False [  158011.036114] 0003 0036 0000044b
2022-04-02 17:28:07.882937 False [  158011.044367] 0003 0035 00000502
2022-04-02 17:28:07.882937 False [  158011.044367] 0003 0036 0000043f
2022-04-02 17:28:07.888964 False [  158011.052485] 0003 0035 0000050b
2022-04-02 17:28:07.888964 False [  158011.052485] 0003 0036 0000043a
2022-04-02 17:28:07.899036 False [  158011.060806] 0003 0035 00000517
2022-04-02 17:28:07.899036 False [  158011.060806] 0003 0036 00000430
2022-04-02 17:28:07.905672 False [  158011.069040] 0003 0035 00000520
2022-04-02 17:28:07.905672 False [  158011.069040] 0003 0036 00000429
2022-04-02 17:28:07.915054 False [  158011.077538] 0003 0035 00000525
2022-04-02 17:28:07.915054 False [  158011.077538] 0003 0036 00000425
2022-04-02 17:28:07.921944 False [  158011.085690] 0003 0035 00000529
2022-04-02 17:28:07.921944 False [  158011.085690] 0003 0036 00000422
2022-04-02 17:28:07.931842 False [  158011.094052] 0003 0036 00000421
2022-04-02 17:28:07.946953 False [  158011.110545] 0003 0035 00000528
2022-04-02 17:28:07.946953 False [  158011.110545] 0003 0036 00000422
2022-04-02 17:28:07.954469 False [  158011.118859] 0003 0035 00000524
2022-04-02 17:28:07.954469 False [  158011.118859] 0003 0036 00000424
2022-04-02 17:28:07.963630 False [  158011.127379] 0003 0035 0000051e
2022-04-02 17:28:07.963630 False [  158011.127379] 0003 0036 00000429
2022-04-02 17:28:07.979378 False [  158011.135594] 0003 0035 00000515
2022-04-02 17:28:07.979378 False [  158011.135594] 0003 0036 0000042f
2022-04-02 17:28:07.984470 False [  158011.143971] 0003 0035 0000050c
2022-04-02 17:28:07.984470 False [  158011.143971] 0003 0036 00000436
2022-04-02 17:28:07.993258 False [  158011.152175] 0003 0035 00000502
2022-04-02 17:28:07.993258 False [  158011.152175] 0003 0036 0000043d
2022-04-02 17:28:07.998498 False [  158011.160702] 0003 0035 000004f8
2022-04-02 17:28:07.998498 False [  158011.160702] 0003 0036 00000444
2022-04-02 17:28:08.005870 False [  158011.168788] 0003 0035 000004f0
2022-04-02 17:28:08.006844 False [  158011.168788] 0003 0036 0000044a
2022-04-02 17:28:08.014451 False [  158011.177238] 0003 0035 000004e9
2022-04-02 17:28:08.014451 True [  158011.177238] 0003 0036 0000044e
2022-04-02 17:28:08.021964 True [  158011.185350] 0003 0035 000004e3
2022-04-02 17:28:08.021964 True [  158011.185350] 0003 0036 00000452
2022-04-02 17:28:08.032295 True [  158011.193884] 0003 0035 000004e0
2022-04-02 17:28:08.032295 True [  158011.193884] 0003 0036 00000455
2022-04-02 17:28:08.038061 True [  158011.202013] 0003 0035 000004de
2022-04-02 17:28:08.038061 True [  158011.202013] 0003 0036 00000456
2022-04-02 17:28:08.046409 True [  158011.210611] 0003 0035 000004df
2022-04-02 17:28:08.065659 True [  158011.227105] 0003 0035 000004e2
