Mode = area stim
        verts = 22 
        radius = 550 
        center = (800, 1280) 
        first_angle = 2.1548132804826836 
        wm_size = [1600 2560] 
        stim_amp = 5 
        baseline_stim = 3
        current_stim_group = audio
        sense_zone = 0
        ===============================
2022-04-07 19:18:54.606589 True [   20263.782988] 0003 0036 00000503
2022-04-07 19:18:54.606589 True [   20263.795971] 0003 0036 000004f6
2022-04-07 19:18:54.606589 True [   20263.809451] 0003 0036 000004dd
2022-04-07 19:18:54.669588 True [   20263.823417] 0003 0036 000004d3
2022-04-07 19:18:54.669588 True [   20263.839598] 0003 0035 00000511
2022-04-07 19:18:54.669588 True [   20263.839598] 0003 0036 000004bf
2022-04-07 19:18:54.669588 True [   20263.843656] 0003 0035 00000510
2022-04-07 19:18:54.669588 True [   20263.843656] 0003 0036 000004ae
2022-04-07 19:18:54.669588 True [   20263.852115] 0003 0036 000004a6
2022-04-07 19:18:54.669588 True [   20263.861856] 0003 0036 000004a0
2022-04-07 19:18:54.669588 True [   20263.873993] 0003 0035 00000511
2022-04-07 19:18:54.669588 True [   20263.873993] 0003 0036 00000496
2022-04-07 19:18:54.669588 True [   20263.888738] 0003 0035 00000512
2022-04-07 19:18:54.669588 True [   20263.888738] 0003 0036 0000048f
2022-04-07 19:18:54.769921 True [   20263.904694] 0003 0035 00000513
2022-04-07 19:18:54.769921 True [   20263.904694] 0003 0036 00000486
2022-04-07 19:18:54.769921 True [   20263.919483] 0003 0035 00000514
2022-04-07 19:18:54.769921 True [   20263.919483] 0003 0036 0000047b
2022-04-07 19:18:54.769921 True [   20263.928138] 0003 0036 00000471
2022-04-07 19:18:54.769921 True [   20263.935307] 0003 0036 0000046b
2022-04-07 19:18:54.769921 True [   20263.943559] 0003 0036 00000467
2022-04-07 19:18:54.769921 True [   20263.955337] 0003 0036 00000464
2022-04-07 19:18:54.769921 True [   20263.968551] 0003 0036 00000461
2022-04-07 19:18:54.858880 True [   20263.981736] 0003 0035 00000516
2022-04-07 19:18:54.858880 True [   20263.981736] 0003 0036 00000456
2022-04-07 19:18:54.858880 True [   20263.994472] 0003 0036 00000453
2022-04-07 19:18:54.858880 True [   20264.010217] 0003 0035 00000517
2022-04-07 19:18:54.858880 True [   20264.010217] 0003 0036 0000044e
2022-04-07 19:18:54.858880 True [   20264.025176] 0003 0036 0000044b
2022-04-07 19:18:54.858880 True [   20264.041340] 0003 0036 0000044a
2022-04-07 19:18:54.858880 True [   20264.056147] 0003 0035 00000518
2022-04-07 19:18:54.858880 True [   20264.056147] 0003 0036 00000449
2022-04-07 19:18:54.858880 True [   20264.069195] 0003 0036 00000448
2022-04-07 19:18:54.876716 True [   20264.087137] 0003 0036 00000443
2022-04-07 19:18:54.876716 True [   20264.106875] 0003 0035 00000519
2022-04-07 19:18:54.876716 True [   20264.106875] 0003 0036 0000043f
2022-04-07 19:18:54.876716 True [   20264.120318] 0003 0036 0000043d
2022-04-07 19:18:54.876716 True [   20264.128726] 0003 0036 0000043b
2022-04-07 19:18:54.876716 True [   20264.144736] 0003 0036 0000043a
2022-04-07 19:18:54.883231 True [   20264.159478] 0003 0036 00000439
2022-04-07 19:18:54.935721 True [   20264.184545] 0003 0035 0000051b
2022-04-07 19:18:54.935721 True [   20264.184545] 0003 0036 0000043a
2022-04-07 19:18:55.006113 True [   20264.192793] 0003 0036 0000043d
2022-04-07 19:18:55.006113 True [   20264.209916] 0003 0035 0000051c
2022-04-07 19:18:55.006113 True [   20264.209916] 0003 0036 0000043f
2022-04-07 19:18:55.006113 True [   20264.223493] 0003 0035 0000051e
2022-04-07 19:18:55.006113 True [   20264.223493] 0003 0036 00000440
2022-04-07 19:18:55.006113 True [   20264.235022] 0003 0036 00000441
2022-04-07 19:18:55.017656 True [   20264.248938] 0003 0035 0000051f
2022-04-07 19:18:55.017656 True [   20264.248938] 0003 0036 00000443
2022-04-07 19:18:55.017656 False [   20264.262154] 0003 0035 00000522
2022-04-07 19:18:55.017656 False [   20264.302618] 0003 0035 00000537
2022-04-07 19:18:55.017656 False [   20264.302618] 0003 0036 0000045a
2022-04-07 19:18:55.086941 False [   20264.309243] 0003 0035 0000053e
2022-04-07 19:18:55.086941 False [   20264.309243] 0003 0036 0000045c
2022-04-07 19:18:55.176939 False [   20264.317701] 0003 0035 00000543
2022-04-07 19:18:55.176939 False [   20264.317701] 0003 0036 0000045e
2022-04-07 19:18:55.176939 False [   20264.332210] 0003 0035 00000546
2022-04-07 19:18:55.176939 False [   20264.332210] 0003 0036 0000045f
2022-04-07 19:18:55.176939 False [   20264.346357] 0003 0035 0000054c
2022-04-07 19:18:55.176939 False [   20264.359729] 0003 0035 00000558
2022-04-07 19:18:55.176939 False [   20264.359729] 0003 0036 0000045d
2022-04-07 19:18:55.176939 False [   20264.367434] 0003 0035 0000056b
2022-04-07 19:18:55.176939 False [   20264.367434] 0003 0036 0000045a
2022-04-07 19:18:55.176939 False [   20264.375600] 0003 0035 00000571
2022-04-07 19:18:55.176939 False [   20264.375600] 0003 0036 00000458
2022-04-07 19:18:55.176939 False [   20264.385834] 0003 0035 00000579
2022-04-07 19:18:55.176939 False [   20264.385834] 0003 0036 00000456
2022-04-07 19:18:55.275201 False [   20264.396884] 0003 0035 0000057e
2022-04-07 19:18:55.275201 False [   20264.396884] 0003 0036 00000455
2022-04-07 19:18:55.275201 False [   20264.408869] 0003 0035 00000584
2022-04-07 19:18:55.275201 False [   20264.408869] 0003 0036 00000453
2022-04-07 19:18:55.275201 False [   20264.423485] 0003 0035 0000058f
2022-04-07 19:18:55.275201 False [   20264.423485] 0003 0036 0000044e
2022-04-07 19:18:55.275201 False [   20264.435154] 0003 0035 00000594
2022-04-07 19:18:55.275201 False [   20264.435154] 0003 0036 0000044b
2022-04-07 19:18:55.275201 False [   20264.448125] 0003 0035 0000059b
2022-04-07 19:18:55.275201 False [   20264.448125] 0003 0036 00000447
2022-04-07 19:18:55.275201 False [   20264.461377] 0003 0035 000005a2
2022-04-07 19:18:55.275201 False [   20264.461377] 0003 0036 00000444
2022-04-07 19:18:55.275201 False [   20264.475874] 0003 0035 000005aa
2022-04-07 19:18:55.275201 False [   20264.475874] 0003 0036 00000440
2022-04-07 19:18:55.372072 False [   20264.491343] 0003 0035 000005b0
2022-04-07 19:18:55.372072 False [   20264.491343] 0003 0036 0000043a
2022-04-07 19:18:55.372072 False [   20264.506471] 0003 0035 000005b1
2022-04-07 19:18:55.372072 False [   20264.506471] 0003 0036 00000439
2022-04-07 19:18:55.372072 False [   20264.519687] 0003 0035 000005b4
2022-04-07 19:18:55.372072 False [   20264.519687] 0003 0036 00000436
2022-04-07 19:18:55.372072 False [   20264.533997] 0003 0035 000005b5
2022-04-07 19:18:55.372072 False [   20264.533997] 0003 0036 00000433
2022-04-07 19:18:55.372072 False [   20264.548961] 0003 0035 000005b7
2022-04-07 19:18:55.372072 False [   20264.548961] 0003 0036 00000430
2022-04-07 19:18:55.372072 False [   20264.561950] 0003 0036 0000042f
2022-04-07 19:18:55.372072 False [   20264.574487] 0003 0035 000005b3
2022-04-07 19:18:55.372072 False [   20264.574487] 0003 0036 0000042b
2022-04-07 19:18:55.464732 False [   20264.586150] 0003 0035 000005b1
2022-04-07 19:18:55.464732 False [   20264.586150] 0003 0036 00000429
2022-04-07 19:18:55.464732 False [   20264.598959] 0003 0035 000005ab
2022-04-07 19:18:55.464732 False [   20264.598959] 0003 0036 00000425
2022-04-07 19:18:55.464732 False [   20264.616627] 0003 0035 000005a7
2022-04-07 19:18:55.464732 False [   20264.616627] 0003 0036 00000424
2022-04-07 19:18:55.464732 False [   20264.630160] 0003 0035 00000598
2022-04-07 19:18:55.464732 False [   20264.630160] 0003 0036 00000421
2022-04-07 19:18:55.464732 False [   20264.643887] 0003 0035 00000591
2022-04-07 19:18:55.464732 False [   20264.643887] 0003 0036 00000420
2022-04-07 19:18:55.464732 False [   20264.657260] 0003 0035 00000582
2022-04-07 19:18:55.464732 False [   20264.657260] 0003 0036 0000041f
2022-04-07 19:18:55.464732 False [   20264.671177] 0003 0035 0000057d
2022-04-07 19:18:55.576552 False [   20264.686458] 0003 0035 0000056f
2022-04-07 19:18:55.576552 False [   20264.686458] 0003 0036 00000421
2022-04-07 19:18:55.576552 False [   20264.701627] 0003 0035 00000560
