Mode = area stim
    verts = 5 
    radius = 550 
    center = (600, 960) 
    first_angle = 2.1021286018060765 
    wm_size = [1200 1920] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-03-10 16:57:37.309102 False [     533.665791] 0003 0035 000001cf
2022-03-10 16:57:37.328430 False [     533.683203] 0003 0035 000001d3
2022-03-10 16:57:37.345020 False [     533.700907] 0003 0035 000001d7
2022-03-10 16:57:37.361658 False [     533.716840] 0003 0035 000001d7
2022-03-10 16:57:37.378501 False [     533.733994] 0003 0035 000001d7
2022-03-10 16:57:37.395177 False [     533.750727] 0003 0035 000001db
2022-03-10 16:57:37.412579 False [     533.767747] 0003 0035 000001db
2022-03-10 16:57:37.430106 False [     533.785288] 0003 0035 000001e0
2022-03-10 16:57:37.448270 False [     533.802342] 0003 0035 000001e4
2022-03-10 16:57:37.465079 False [     533.818988] 0003 0035 000001e4
2022-03-10 16:57:37.480629 False [     533.835461] 0003 0035 000001e7
2022-03-10 16:57:37.496223 False [     533.852202] 0003 0035 000001e7
2022-03-10 16:57:37.514931 False [     533.869225] 0003 0035 000001eb
2022-03-10 16:57:37.530544 False [     533.886053] 0003 0035 000001eb
2022-03-10 16:57:37.547187 False [     533.902997] 0003 0035 000001eb
2022-03-10 16:57:37.563951 False [     533.920091] 0003 0035 000001eb
2022-03-10 16:57:37.582624 False [     533.937316] 0003 0035 000001eb
2022-03-10 16:57:37.597568 False [     533.954051] 0003 0035 000001eb
2022-03-10 16:57:37.616010 False [     533.971204] 0003 0035 000001eb
2022-03-10 16:57:37.632617 False [     533.988256] 0003 0035 000001ed
2022-03-10 16:57:37.650312 False [     534.005793] 0003 0035 000001ed
2022-03-10 16:57:37.666340 False [     534.022496] 0003 0035 000001ed
2022-03-10 16:57:37.682821 False [     534.038766] 0003 0035 000001ed
2022-03-10 16:57:37.700630 False [     534.055575] 0003 0035 000001f0
2022-03-10 16:57:37.717126 False [     534.073525] 0003 0035 000001f0
2022-03-10 16:57:37.735849 False [     534.092101] 0003 0035 000001f0
2022-03-10 16:57:37.751780 False [     534.107087] 0003 0035 000001f0
2022-03-10 16:57:37.768138 False [     534.124403] 0003 0035 000001f0
2022-03-10 16:57:37.785128 False [     534.141075] 0003 0035 000001f2
2022-03-10 16:57:37.801946 False [     534.157497] 0003 0035 000001f2
2022-03-10 16:57:37.819979 False [     534.174889] 0003 0035 000001f2
2022-03-10 16:57:37.835904 False [     534.191154] 0003 0035 000001f5
2022-03-10 16:57:37.853103 False [     534.208090] 0003 0035 000001f8
2022-03-10 16:57:37.870293 False [     534.225474] 0003 0035 000001f8
2022-03-10 16:57:37.886816 False [     534.242364] 0003 0035 000001fc
2022-03-10 16:57:37.903837 False [     534.259707] 0003 0035 000001fc
2022-03-10 16:57:37.921632 False [     534.276640] 0003 0035 000001fc
2022-03-10 16:57:37.937123 False [     534.292954] 0003 0035 000001fc
2022-03-10 16:57:37.955973 False [     534.310134] 0003 0035 00000200
2022-03-10 16:57:37.971431 False [     534.327093] 0003 0035 00000200
2022-03-10 16:57:37.989403 False [     534.344668] 0003 0035 00000200
2022-03-10 16:57:38.005507 False [     534.361033] 0003 0035 00000200
2022-03-10 16:57:38.022005 False [     534.377529] 0003 0035 00000204
2022-03-10 16:57:38.038787 False [     534.394498] 0003 0035 00000204
2022-03-10 16:57:38.056878 False [     534.411815] 0003 0035 00000209
2022-03-10 16:57:38.073130 False [     534.428636] 0003 0035 0000020e
2022-03-10 16:57:38.089913 False [     534.445599] 0003 0035 00000214
2022-03-10 16:57:38.107149 False [     534.462745] 0003 0035 00000219
2022-03-10 16:57:38.123425 False [     534.479265] 0003 0035 0000021d
2022-03-10 16:57:38.140403 False [     534.496414] 0003 0035 0000021d
2022-03-10 16:57:38.156740 False [     534.513132] 0003 0035 00000221
2022-03-10 16:57:38.174268 False [     534.530095] 0003 0035 00000221
2022-03-10 16:57:38.193528 False [     534.547591] 0003 0035 00000225
2022-03-10 16:57:38.209256 False [     534.564386] 0003 0035 00000225
2022-03-10 16:57:38.225118 False [     534.581120] 0003 0035 00000225
2022-03-10 16:57:38.243103 False [     534.598596] 0003 0035 00000229
2022-03-10 16:57:38.261802 False [     534.616287] 0003 0035 00000229
2022-03-10 16:57:38.276708 False [     534.631782] 0003 0035 00000229
2022-03-10 16:57:38.293261 False [     534.648707] 0003 0035 0000022d
2022-03-10 16:57:38.310848 False [     534.666057] 0003 0035 0000022d
2022-03-10 16:57:38.328098 False [     534.683449] 0003 0035 0000022d
2022-03-10 16:57:38.345090 False [     534.699874] 0003 0035 0000022d
2022-03-10 16:57:38.362090 False [     534.717890] 0003 0035 0000022d
2022-03-10 16:57:38.377418 False [     534.733632] 0003 0035 0000022d
2022-03-10 16:57:38.396518 False [     534.750922] 0003 0035 0000022d
2022-03-10 16:57:38.411785 False [     534.767365] 0003 0035 0000022d
2022-03-10 16:57:38.428347 False [     534.784490] 0003 0035 0000022d
2022-03-10 16:57:38.446977 False [     534.802029] 0003 0035 0000022d
2022-03-10 16:57:38.465780 False [     534.818461] 0003 0035 0000022d
2022-03-10 16:57:38.480128 False [     534.835264] 0003 0035 0000022d
2022-03-10 16:57:38.872388 False [     535.225951] 0003 0035 00000085
2022-03-10 16:57:38.887369 True [     535.242732] 0003 0035 00000085
2022-03-10 16:57:38.904505 True [     535.259169] 0003 0035 00000085
2022-03-10 16:57:38.921168 True [     535.276393] 0003 0035 00000085
2022-03-10 16:57:38.938327 True [     535.293161] 0003 0035 00000085
2022-03-10 16:57:38.954608 True [     535.309775] 0003 0035 00000085
2022-03-10 16:57:38.972269 True [     535.327421] 0003 0035 00000085
2022-03-10 16:57:38.988884 True [     535.344400] 0003 0035 00000085
2022-03-10 16:57:39.005604 True [     535.360901] 0003 0035 00000085
2022-03-10 16:57:39.022176 True [     535.377837] 0003 0035 00000085
2022-03-10 16:57:39.022176 True [     535.377837] 0003 0035 00000088
2022-03-10 16:57:39.039368 False [     535.395293] 0003 0035 00000085
2022-03-10 16:57:39.040380 False [     535.395293] 0003 0035 00000088
2022-03-10 16:57:39.058558 False [     535.414595] 0003 0035 00000088
2022-03-10 16:57:39.072481 True [     535.428341] 0003 0035 0000008c
2022-03-10 16:57:39.091072 True [     535.445812] 0003 0035 00000095
2022-03-10 16:57:39.107543 True [     535.462855] 0003 0035 000000a2
2022-03-10 16:57:39.123393 True [     535.479206] 0003 0035 000000b0
2022-03-10 16:57:39.141079 True [     535.496518] 0003 0035 000000bd
2022-03-10 16:57:39.159515 True [     535.513434] 0003 0035 000000c9
2022-03-10 16:57:39.174149 True [     535.529961] 0003 0035 000000d3
2022-03-10 16:57:39.191906 True [     535.547330] 0003 0035 000000dc
2022-03-10 16:57:39.208589 True [     535.564399] 0003 0035 000000e7
2022-03-10 16:57:39.224992 True [     535.581080] 0003 0035 000000f4
2022-03-10 16:57:39.242218 True [     535.597996] 0003 0035 00000102
2022-03-10 16:57:39.260453 True [     535.615278] 0003 0035 00000110
2022-03-10 16:57:39.276680 True [     535.632497] 0003 0035 0000011b
2022-03-10 16:57:39.293961 True [     535.649745] 0003 0035 00000125
2022-03-10 16:57:39.311686 True [     535.667170] 0003 0035 0000012d
2022-03-10 16:57:39.326865 True [     535.682494] 0003 0035 00000135
2022-03-10 16:57:39.343892 True [     535.699478] 0003 0035 00000140
2022-03-10 16:57:39.361456 True [     535.717275] 0003 0035 00000150
2022-03-10 16:57:39.378494 True [     535.734286] 0003 0035 00000162
2022-03-10 16:57:39.394210 True [     535.750488] 0003 0035 00000172
2022-03-10 16:57:39.411422 True [     535.767473] 0003 0035 00000180
2022-03-10 16:57:39.429084 True [     535.784930] 0003 0035 0000018c
2022-03-10 16:57:39.429084 True [     535.784930] 0003 0035 0000019d
2022-03-10 16:57:39.445623 True [     535.801360] 0003 0035 0000019d
2022-03-10 16:57:39.462473 True [     535.818389] 0003 0035 0000019d
2022-03-10 16:57:39.480630 True [     535.835991] 0003 0035 0000019d
2022-03-10 16:57:39.497298 True [     535.853004] 0003 0035 000001a4
2022-03-10 16:57:39.514145 True [     535.870031] 0003 0035 000001ae
2022-03-10 16:57:39.530773 True [     535.886906] 0003 0035 000001b9
2022-03-10 16:57:39.548791 True [     535.904072] 0003 0035 000001c5
2022-03-10 16:57:39.565908 True [     535.920727] 0003 0035 000001d0
2022-03-10 16:57:39.581711 True [     535.937110] 0003 0035 000001d9
2022-03-10 16:57:39.598875 True [     535.954479] 0003 0035 000001e0
2022-03-10 16:57:39.616086 True [     535.971019] 0003 0035 000001e5
2022-03-10 16:57:39.632509 True [     535.987929] 0003 0035 000001ea
2022-03-10 16:57:39.649704 True [     536.005364] 0003 0035 000001ee
2022-03-10 16:57:39.666972 True [     536.022477] 0003 0035 000001ee
2022-03-10 16:57:39.683135 True [     536.039033] 0003 0035 000001f1
2022-03-10 16:57:39.700243 True [     536.055906] 0003 0035 000001f4
2022-03-10 16:57:39.717081 True [     536.072362] 0003 0035 000001f4
2022-03-10 16:57:39.733619 True [     536.089590] 0003 0035 000001f7
2022-03-10 16:57:39.751396 True [     536.107117] 0003 0035 000001f7
2022-03-10 16:57:39.768940 True [     536.123475] 0003 0035 000001fa
2022-03-10 16:57:39.784681 True [     536.140413] 0003 0035 000001fd
2022-03-10 16:57:39.802322 False [     536.157850] 0003 0035 000001fd
2022-03-10 16:57:39.818814 False [     536.174785] 0003 0035 00000203
2022-03-10 16:57:39.835471 False [     536.191130] 0003 0035 0000020a
2022-03-10 16:57:39.852204 False [     536.207956] 0003 0035 00000211
2022-03-10 16:57:39.870039 False [     536.225926] 0003 0035 00000218
2022-03-10 16:57:39.885830 False [     536.241983] 0003 0035 0000021f
2022-03-10 16:57:39.903186 False [     536.258657] 0003 0035 00000225
2022-03-10 16:57:39.920553 False [     536.276107] 0003 0035 0000022b
2022-03-10 16:57:39.936461 False [     536.292615] 0003 0035 00000230
2022-03-10 16:57:39.954534 False [     536.310956] 0003 0035 00000234
2022-03-10 16:57:39.971284 False [     536.327143] 0003 0035 00000238
2022-03-10 16:57:39.988067 False [     536.343966] 0003 0035 00000238
2022-03-10 16:57:40.004579 False [     536.360387] 0003 0035 00000238
2022-03-10 16:57:40.022423 False [     536.377957] 0003 0035 00000238
2022-03-10 16:57:40.039782 False [     536.395366] 0003 0035 00000238
2022-03-10 16:57:40.057215 False [     536.411498] 0003 0035 0000023b
2022-03-10 16:57:40.074359 False [     536.428630] 0003 0035 0000023b
2022-03-10 16:57:40.093099 False [     536.446115] 0003 0035 0000023b
2022-03-10 16:57:40.106577 False [     536.462503] 0003 0035 0000023f
2022-03-10 16:57:40.124304 False [     536.479477] 0003 0035 0000023f
2022-03-10 16:57:40.141052 False [     536.496361] 0003 0035 0000023f
2022-03-10 16:57:40.158492 False [     536.513632] 0003 0035 00000243
2022-03-10 16:57:40.174067 False [     536.529901] 0003 0035 00000243
