Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.9919058381522681 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 14:37:17.105836 False [  147760.295438] 0003 0036 00000374
2022-04-02 14:37:17.209351 False [  147760.314332] 0003 0035 00000133
2022-04-02 14:37:17.209351 False [  147760.314332] 0003 0036 0000036d
2022-04-02 14:37:17.209351 False [  147760.334116] 0003 0035 0000012b
2022-04-02 14:37:17.209351 False [  147760.334116] 0003 0036 0000035e
2022-04-02 14:37:17.209351 False [  147760.352769] 0003 0035 00000128
2022-04-02 14:37:17.209351 False [  147760.352769] 0003 0036 0000035c
2022-04-02 14:37:17.209351 False [  147760.371219] 0003 0035 00000126
2022-04-02 14:37:17.209351 False [  147760.371219] 0003 0036 00000357
2022-04-02 14:37:17.209351 False [  147760.383228] 0003 0035 00000124
2022-04-02 14:37:17.209351 False [  147760.383228] 0003 0036 00000353
2022-04-02 14:37:17.209351 False [  147760.398463] 0003 0035 00000122
2022-04-02 14:37:17.209351 False [  147760.398463] 0003 0036 0000034f
2022-04-02 14:37:17.209351 False [  147760.403370] 0003 0035 00000121
2022-04-02 14:37:17.209351 False [  147760.403370] 0003 0036 0000034e
2022-04-02 14:37:17.253266 False [  147760.407648] 0003 0036 0000034c
2022-04-02 14:37:17.253266 False [  147760.424241] 0003 0035 00000120
2022-04-02 14:37:17.253266 False [  147760.424241] 0003 0036 0000034b
2022-04-02 14:37:17.253266 False [  147760.440597] 0003 0035 0000011e
2022-04-02 14:37:17.253266 False [  147760.440597] 0003 0036 00000349
2022-04-02 14:37:17.253266 False [  147760.458846] 0003 0035 0000011d
2022-04-02 14:37:17.253266 False [  147760.458846] 0003 0036 00000346
2022-04-02 14:37:17.253266 False [  147760.474164] 0003 0036 00000345
2022-04-02 14:37:17.253266 False [  147760.493384] 0003 0036 00000344
2022-04-02 14:37:17.253266 False [  147760.511198] 0003 0036 00000342
2022-04-02 14:37:17.285587 False [  147760.573928] 0003 0035 0000011e
2022-04-02 14:37:17.364197 False [  147760.590472] 0003 0035 0000011f
2022-04-02 14:37:17.501340 False [  147760.611097] 0003 0035 00000120
2022-04-02 14:37:17.501340 False [  147760.611097] 0003 0036 00000343
2022-04-02 14:37:17.501340 False [  147760.620046] 0003 0035 00000121
2022-04-02 14:37:17.501340 False [  147760.620046] 0003 0036 00000345
2022-04-02 14:37:17.501340 False [  147760.626529] 0003 0035 00000122
2022-04-02 14:37:17.501340 False [  147760.626529] 0003 0036 00000346
2022-04-02 14:37:17.501340 False [  147760.638332] 0003 0035 00000124
2022-04-02 14:37:17.501340 False [  147760.638332] 0003 0036 00000347
2022-04-02 14:37:17.501340 False [  147760.645140] 0003 0035 00000125
2022-04-02 14:37:17.501340 False [  147760.645140] 0003 0036 00000349
2022-04-02 14:37:17.501340 False [  147760.652660] 0003 0035 00000126
2022-04-02 14:37:17.501340 False [  147760.652660] 0003 0036 0000034b
2022-04-02 14:37:17.501340 False [  147760.664597] 0003 0035 00000128
2022-04-02 14:37:17.501340 False [  147760.664597] 0003 0036 0000034c
2022-04-02 14:37:17.584137 False [  147760.682722] 0003 0035 0000012c
2022-04-02 14:37:17.584137 False [  147760.682722] 0003 0036 00000351
2022-04-02 14:37:17.584137 False [  147760.700233] 0003 0035 0000012e
2022-04-02 14:37:17.584137 False [  147760.700233] 0003 0036 00000353
2022-04-02 14:37:17.584137 False [  147760.717882] 0003 0035 00000132
2022-04-02 14:37:17.584137 False [  147760.717882] 0003 0036 00000357
2022-04-02 14:37:17.584137 False [  147760.733452] 0003 0035 00000135
2022-04-02 14:37:17.584137 False [  147760.733452] 0003 0036 0000035a
2022-04-02 14:37:17.584137 False [  147760.747169] 0003 0035 0000013a
2022-04-02 14:37:17.584137 False [  147760.747169] 0003 0036 0000035f
2022-04-02 14:37:17.584137 False [  147760.765880] 0003 0035 00000142
2022-04-02 14:37:17.584137 False [  147760.765880] 0003 0036 00000366
2022-04-02 14:37:17.584137 False [  147760.783446] 0003 0035 00000144
2022-04-02 14:37:17.584137 False [  147760.783446] 0003 0036 00000368
2022-04-02 14:37:17.584137 False [  147760.801316] 0003 0035 00000148
2022-04-02 14:37:17.584137 False [  147760.801316] 0003 0036 0000036b
2022-04-02 14:37:17.675730 False [  147760.811804] 0003 0035 0000014b
2022-04-02 14:37:17.675730 False [  147760.811804] 0003 0036 0000036d
2022-04-02 14:37:17.675730 False [  147760.814879] 0003 0035 0000014c
2022-04-02 14:37:17.675730 False [  147760.814879] 0003 0036 0000036e
2022-04-02 14:37:17.675730 False [  147760.823177] 0003 0035 0000014e
2022-04-02 14:37:17.675730 False [  147760.823177] 0003 0036 0000036f
2022-04-02 14:37:17.675730 False [  147760.839718] 0003 0035 0000014f
2022-04-02 14:37:17.675730 False [  147760.839718] 0003 0036 00000371
2022-04-02 14:37:17.675730 False [  147760.854719] 0003 0035 00000153
2022-04-02 14:37:17.675730 False [  147760.854719] 0003 0036 00000374
2022-04-02 14:37:17.675730 False [  147760.870930] 0003 0035 00000154
2022-04-02 14:37:17.675730 False [  147760.870930] 0003 0036 00000375
2022-04-02 14:37:17.676731 False [  147760.881534] 0003 0035 00000159
2022-04-02 14:37:17.676731 False [  147760.881534] 0003 0036 00000379
2022-04-02 14:37:17.797778 False [  147760.889599] 0003 0035 0000015c
2022-04-02 14:37:17.797778 False [  147760.889599] 0003 0036 0000037d
2022-04-02 14:37:17.797778 False [  147760.906360] 0003 0035 0000015d
2022-04-02 14:37:17.797778 False [  147760.906360] 0003 0036 0000037f
2022-04-02 14:37:17.797778 False [  147760.919548] 0003 0035 00000161
2022-04-02 14:37:17.797778 False [  147760.919548] 0003 0036 00000384
2022-04-02 14:37:17.797778 False [  147760.939322] 0003 0035 00000165
2022-04-02 14:37:17.797778 False [  147760.939322] 0003 0036 00000389
2022-04-02 14:37:17.797778 False [  147760.957397] 0003 0035 00000167
2022-04-02 14:37:17.797778 False [  147760.957397] 0003 0036 0000038b
2022-04-02 14:37:17.797778 False [  147760.974883] 0003 0035 0000016a
2022-04-02 14:37:17.797778 False [  147760.974883] 0003 0036 0000038f
2022-04-02 14:37:17.878526 False [  147760.990748] 0003 0035 0000016c
2022-04-02 14:37:17.878526 False [  147760.990748] 0003 0036 00000392
2022-04-02 14:37:17.878526 False [  147761.004872] 0003 0035 0000016e
2022-04-02 14:37:17.878526 False [  147761.004872] 0003 0036 00000396
2022-04-02 14:37:17.878526 False [  147761.022311] 0003 0035 0000016f
2022-04-02 14:37:17.878526 False [  147761.022311] 0003 0036 00000397
2022-04-02 14:37:17.878526 False [  147761.039780] 0003 0035 00000171
2022-04-02 14:37:17.878526 False [  147761.039780] 0003 0036 0000039d
2022-04-02 14:37:17.878526 False [  147761.059971] 0003 0035 00000172
2022-04-02 14:37:17.878526 False [  147761.059971] 0003 0036 0000039e
2022-04-02 14:37:17.878526 False [  147761.073366] 0003 0035 00000173
2022-04-02 14:37:17.878526 False [  147761.073366] 0003 0036 000003a1
2022-04-02 14:37:17.878526 False [  147761.087225] 0003 0035 00000174
2022-04-02 14:37:17.878526 False [  147761.087225] 0003 0036 000003a4
2022-04-02 14:37:17.878526 False [  147761.094733] 0003 0035 00000175
2022-04-02 14:37:17.878526 False [  147761.097692] 0003 0035 00000176
2022-04-02 14:37:17.878526 False [  147761.097692] 0003 0036 000003a6
2022-04-02 14:37:18.010141 False [  147761.105742] 0003 0035 00000177
2022-04-02 14:37:18.010141 False [  147761.105742] 0003 0036 000003a9
2022-04-02 14:37:18.010141 False [  147761.125596] 0003 0035 00000178
2022-04-02 14:37:18.010141 False [  147761.125596] 0003 0036 000003aa
2022-04-02 14:37:18.010141 False [  147761.137047] 0003 0035 0000017a
2022-04-02 14:37:18.010141 False [  147761.137047] 0003 0036 000003ae
2022-04-02 14:37:18.010141 False [  147761.141379] 0003 0036 000003af
2022-04-02 14:37:18.010141 False [  147761.147094] 0003 0035 0000017b
2022-04-02 14:37:18.010141 False [  147761.147094] 0003 0036 000003b1
2022-04-02 14:37:18.010141 False [  147761.164563] 0003 0035 0000017c
2022-04-02 14:37:18.010141 False [  147761.164563] 0003 0036 000003b2
2022-04-02 14:37:18.010141 False [  147761.180146] 0003 0035 0000017d
2022-04-02 14:37:18.010141 False [  147761.180146] 0003 0036 000003b4
2022-04-02 14:37:18.010141 False [  147761.190543] 0003 0035 0000017e
2022-04-02 14:37:18.010141 False [  147761.190543] 0003 0036 000003b6
2022-04-02 14:37:18.136278 False [  147761.196875] 0003 0036 000003b7
2022-04-02 14:37:18.136278 False [  147761.213709] 0003 0036 000003b8
2022-04-02 14:37:18.136278 False [  147761.233445] 0003 0035 00000180
2022-04-02 14:37:18.136278 False [  147761.233445] 0003 0036 000003ba
2022-04-02 14:37:18.136278 False [  147761.251108] 0003 0035 00000181
2022-04-02 14:37:18.136278 False [  147761.270994] 0003 0036 000003bb
2022-04-02 14:37:18.136278 False [  147761.291600] 0003 0035 00000183
2022-04-02 14:37:18.136278 False [  147761.291600] 0003 0036 000003bd
2022-04-02 14:37:18.136278 False [  147761.311270] 0003 0035 00000184
2022-04-02 14:37:18.136278 False [  147761.311270] 0003 0036 000003be
2022-04-02 14:37:18.185148 False [  147761.331943] 0003 0035 00000185
2022-04-02 14:37:18.185148 False [  147761.331943] 0003 0036 000003bf
2022-04-02 14:37:18.185148 False [  147761.350456] 0003 0035 00000186
2022-04-02 14:37:18.185148 False [  147761.350456] 0003 0036 000003c0
2022-04-02 14:37:18.185148 False [  147761.369624] 0003 0035 00000188
2022-04-02 14:37:18.185148 False [  147761.369624] 0003 0036 000003c3
2022-04-02 14:37:18.185148 False [  147761.389088] 0003 0035 0000018c
2022-04-02 14:37:18.185148 False [  147761.389088] 0003 0036 000003c8
2022-04-02 14:37:18.185148 False [  147761.405906] 0003 0036 000003c9
2022-04-02 14:37:18.185148 False [  147761.426825] 0003 0035 0000018f
2022-04-02 14:37:18.185148 False [  147761.426825] 0003 0036 000003cc
2022-04-02 14:37:18.185148 False [  147761.433089] 0003 0035 00000190
2022-04-02 14:37:18.185148 False [  147761.433089] 0003 0036 000003d0
2022-04-02 14:37:18.185148 False [  147761.438171] 0003 0036 000003d2
2022-04-02 14:37:18.267414 False [  147761.446290] 0003 0035 00000191
2022-04-02 14:37:18.267414 False [  147761.446290] 0003 0036 000003d4
2022-04-02 14:37:18.267414 False [  147761.462202] 0003 0035 00000192
2022-04-02 14:37:18.267414 False [  147761.462202] 0003 0036 000003d5
2022-04-02 14:37:18.267414 False [  147761.471599] 0003 0035 00000193
2022-04-02 14:37:18.267414 False [  147761.471599] 0003 0036 000003d7
2022-04-02 14:37:18.267414 False [  147761.485266] 0003 0036 000003da
2022-04-02 14:37:18.267414 False [  147761.498558] 0003 0035 00000194
2022-04-02 14:37:18.267414 False [  147761.498558] 0003 0036 000003db
2022-04-02 14:37:18.267414 False [  147761.508237] 0003 0035 00000195
2022-04-02 14:37:18.267414 False [  147761.508237] 0003 0036 000003de
2022-04-02 14:37:18.384042 False [  147761.520664] 0003 0035 00000196
2022-04-02 14:37:18.384042 False [  147761.520664] 0003 0036 000003e0
2022-04-02 14:37:18.385036 False [  147761.527395] 0003 0035 00000197
2022-04-02 14:37:18.385066 False [  147761.527395] 0003 0036 000003e1
2022-04-02 14:37:18.385066 False [  147761.529398] 0003 0036 000003e2
2022-04-02 14:37:18.385066 False [  147761.537814] 0003 0036 000003e4
2022-04-02 14:37:18.385066 False [  147761.553849] 0003 0035 00000198
2022-04-02 14:37:18.385066 False [  147761.553849] 0003 0036 000003e5
2022-04-02 14:37:18.385066 False [  147761.569936] 0003 0035 00000199
2022-04-02 14:37:18.385066 False [  147761.569936] 0003 0036 000003e6
2022-04-02 14:37:18.485084 False [  147761.588990] 0003 0035 0000019c
2022-04-02 14:37:18.485084 True [  147761.588990] 0003 0036 000003ee
2022-04-02 14:37:18.485084 True [  147761.606430] 0003 0035 0000019d
2022-04-02 14:37:18.485084 True [  147761.669583] 0003 0035 000001a1
2022-04-02 14:37:18.485084 True [  147761.669583] 0003 0036 000003fa
2022-04-02 14:37:18.485084 True [  147761.684975] 0003 0036 000003fc
2022-04-02 14:37:18.582128 True [  147761.701310] 0003 0035 000001a2
2022-04-02 14:37:18.582128 True [  147761.701310] 0003 0036 000003fe
2022-04-02 14:37:18.582128 True [  147761.718378] 0003 0035 000001a3
2022-04-02 14:37:18.582128 True [  147761.718378] 0003 0036 00000400
2022-04-02 14:37:18.582128 True [  147761.735221] 0003 0035 000001a4
2022-04-02 14:37:18.582128 True [  147761.735221] 0003 0036 00000402
2022-04-02 14:37:18.582128 True [  147761.751443] 0003 0035 000001a5
2022-04-02 14:37:18.582128 True [  147761.751443] 0003 0036 00000403
2022-04-02 14:37:18.582128 True [  147761.768403] 0003 0036 00000404
2022-04-02 14:37:18.637233 True [  147761.787046] 0003 0036 00000405
2022-04-02 14:37:18.637233 True [  147761.809062] 0003 0036 00000406
2022-04-02 14:37:18.637233 True [  147761.830022] 0003 0036 00000407
2022-04-02 14:37:18.637233 True [  147761.837018] 0003 0036 00000408
2022-04-02 14:37:18.637233 True [  147761.855478] 0003 0035 000001a6
2022-04-02 14:37:18.637233 True [  147761.855478] 0003 0036 00000409
2022-04-02 14:37:18.637233 True [  147761.865342] 0003 0035 000001a9
2022-04-02 14:37:18.637233 True [  147761.865342] 0003 0036 0000040c
2022-04-02 14:37:18.743505 True [  147761.882939] 0003 0035 000001ab
2022-04-02 14:37:18.743505 True [  147761.882939] 0003 0036 0000040d
2022-04-02 14:37:18.743505 True [  147761.890501] 0003 0035 000001af
2022-04-02 14:37:18.743505 True [  147761.890501] 0003 0036 00000410
2022-04-02 14:37:18.743505 True [  147761.895024] 0003 0035 000001b0
2022-04-02 14:37:18.743505 True [  147761.895024] 0003 0036 00000411
2022-04-02 14:37:18.743505 True [  147761.903415] 0003 0035 000001b1
2022-04-02 14:37:18.743505 True [  147761.903415] 0003 0036 00000412
2022-04-02 14:37:18.743505 True [  147761.921381] 0003 0035 000001b2
2022-04-02 14:37:18.743505 True [  147761.921381] 0003 0036 00000413
2022-04-02 14:37:18.743505 True [  147761.937233] 0003 0035 000001b3
2022-04-02 14:37:18.743505 True [  147761.937233] 0003 0036 00000414
2022-04-02 14:37:18.749565 True [  147761.952267] 0003 0035 000001b6
2022-04-02 14:37:18.749565 True [  147761.952267] 0003 0036 00000415
2022-04-02 14:37:18.749565 True [  147761.967992] 0003 0035 000001b7
2022-04-02 14:37:18.749565 True [  147761.967992] 0003 0036 00000416
2022-04-02 14:37:18.749565 True [  147761.980224] 0003 0035 000001b8
2022-04-02 14:37:18.749565 True [  147761.980224] 0003 0036 00000417
2022-04-02 14:37:18.749565 True [  147761.986629] 0003 0035 000001b9
2022-04-02 14:37:18.749565 True [  147762.001686] 0003 0035 000001ba
2022-04-02 14:37:18.749565 True [  147762.030572] 0003 0036 00000416
2022-04-02 14:37:18.749565 True [  147762.042601] 0003 0036 00000411
2022-04-02 14:37:18.832684 True [  147762.061157] 0003 0035 000001bb
2022-04-02 14:37:18.832684 True [  147762.061157] 0003 0036 0000040e
2022-04-02 14:37:18.954192 True [  147762.079074] 0003 0036 0000040d
2022-04-02 14:37:18.955200 True [  147762.121168] 0003 0035 000001b7
2022-04-02 14:37:18.955200 True [  147762.121168] 0003 0036 000003ee
2022-04-02 14:37:18.955200 True [  147762.129145] 0003 0035 000001b5
2022-04-02 14:37:18.955200 True [  147762.129145] 0003 0036 000003e7
2022-04-02 14:37:19.025190 True [  147762.136284] 0003 0036 000003e6
