Mode = area stim
    verts = 5 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.18936422742587952 
    wm_size = [1600 2560] 
    stim_amp = 2 
    baseline_stim = 3
    current_stim_group = 0
    sense_zone = 0
    ===============================
2022-04-02 13:58:19.270549 False [  145413.177296] 0003 0036 000001b4
2022-04-02 13:58:19.277527 False [  145413.185647] 0003 0035 0000013d
2022-04-02 13:58:19.277527 False [  145413.185647] 0003 0036 000001ba
2022-04-02 13:58:19.287018 False [  145413.193855] 0003 0035 00000141
2022-04-02 13:58:19.287018 False [  145413.193855] 0003 0036 000001bf
2022-04-02 13:58:19.295452 False [  145413.202385] 0003 0035 00000143
2022-04-02 13:58:19.295452 False [  145413.202385] 0003 0036 000001c3
2022-04-02 13:58:19.302801 False [  145413.210481] 0003 0035 00000146
2022-04-02 13:58:19.302801 False [  145413.210481] 0003 0036 000001c7
2022-04-02 13:58:19.313469 False [  145413.218909] 0003 0035 00000148
2022-04-02 13:58:19.313469 False [  145413.218909] 0003 0036 000001cb
2022-04-02 13:58:19.321878 False [  145413.227186] 0003 0035 0000014b
2022-04-02 13:58:19.321878 False [  145413.227186] 0003 0036 000001cf
2022-04-02 13:58:19.329798 False [  145413.235690] 0003 0035 0000014e
2022-04-02 13:58:19.329798 False [  145413.235690] 0003 0036 000001d3
2022-04-02 13:58:19.336798 False [  145413.243953] 0003 0035 00000150
2022-04-02 13:58:19.336798 False [  145413.243953] 0003 0036 000001d6
2022-04-02 13:58:19.345911 False [  145413.252306] 0003 0035 00000153
2022-04-02 13:58:19.345911 False [  145413.252306] 0003 0036 000001da
2022-04-02 13:58:19.353815 False [  145413.260661] 0003 0035 00000156
2022-04-02 13:58:19.353815 False [  145413.260661] 0003 0036 000001dd
2022-04-02 13:58:19.360768 False [  145413.268970] 0003 0035 00000158
2022-04-02 13:58:19.360768 False [  145413.268970] 0003 0036 000001df
2022-04-02 13:58:19.369429 False [  145413.276988] 0003 0035 0000015a
2022-04-02 13:58:19.369429 False [  145413.276988] 0003 0036 000001e3
2022-04-02 13:58:19.378941 False [  145413.285410] 0003 0035 0000015d
2022-04-02 13:58:19.378941 False [  145413.285410] 0003 0036 000001e5
2022-04-02 13:58:19.385922 False [  145413.293690] 0003 0035 0000015f
2022-04-02 13:58:19.385922 False [  145413.293690] 0003 0036 000001e8
2022-04-02 13:58:19.395073 False [  145413.302197] 0003 0035 00000161
2022-04-02 13:58:19.395073 False [  145413.302197] 0003 0036 000001eb
2022-04-02 13:58:19.403247 False [  145413.310294] 0003 0035 00000165
2022-04-02 13:58:19.403247 False [  145413.310294] 0003 0036 000001ed
2022-04-02 13:58:19.413448 False [  145413.318721] 0003 0035 00000168
2022-04-02 13:58:19.413448 False [  145413.318721] 0003 0036 000001f1
2022-04-02 13:58:19.422632 False [  145413.326981] 0003 0035 0000016a
2022-04-02 13:58:19.422632 False [  145413.326981] 0003 0036 000001f3
2022-04-02 13:58:19.429425 False [  145413.335386] 0003 0035 0000016c
2022-04-02 13:58:19.429425 False [  145413.335386] 0003 0036 000001f5
2022-04-02 13:58:19.434870 False [  145413.343522] 0003 0035 0000016f
2022-04-02 13:58:19.434870 False [  145413.343522] 0003 0036 000001f7
2022-04-02 13:58:19.446522 False [  145413.351959] 0003 0035 00000171
2022-04-02 13:58:19.446522 False [  145413.351959] 0003 0036 000001f9
2022-04-02 13:58:19.454474 False [  145413.360240] 0003 0035 00000173
2022-04-02 13:58:19.454474 False [  145413.360240] 0003 0036 000001fb
2022-04-02 13:58:19.460602 False [  145413.368645] 0003 0035 00000175
2022-04-02 13:58:19.460602 False [  145413.368645] 0003 0036 000001fd
2022-04-02 13:58:19.471058 False [  145413.376833] 0003 0035 00000176
2022-04-02 13:58:19.471058 False [  145413.376833] 0003 0036 000001fe
2022-04-02 13:58:19.479514 False [  145413.385778] 0003 0035 00000178
2022-04-02 13:58:19.479514 False [  145413.385778] 0003 0036 00000200
2022-04-02 13:58:19.485976 False [  145413.393751] 0003 0035 0000017a
2022-04-02 13:58:19.485976 False [  145413.393751] 0003 0036 00000202
2022-04-02 13:58:19.494296 False [  145413.401862] 0003 0035 0000017b
2022-04-02 13:58:19.494296 False [  145413.401862] 0003 0036 00000203
2022-04-02 13:58:19.505741 False [  145413.410044] 0003 0035 0000017e
2022-04-02 13:58:19.505741 False [  145413.410044] 0003 0036 00000206
2022-04-02 13:58:19.513974 False [  145413.418484] 0003 0036 00000207
2022-04-02 13:58:19.519563 False [  145413.426685] 0003 0035 00000180
2022-04-02 13:58:19.519563 False [  145413.426685] 0003 0036 00000209
2022-04-02 13:58:19.529803 False [  145413.435069] 0003 0035 00000181
2022-04-02 13:58:19.529803 False [  145413.435069] 0003 0036 0000020a
2022-04-02 13:58:19.538415 False [  145413.443277] 0003 0035 00000182
2022-04-02 13:58:19.538415 False [  145413.443277] 0003 0036 0000020b
2022-04-02 13:58:19.544096 False [  145413.451782] 0003 0035 00000184
2022-04-02 13:58:19.544096 False [  145413.451782] 0003 0036 0000020c
2022-04-02 13:58:19.553152 False [  145413.459896] 0003 0035 00000185
2022-04-02 13:58:19.553152 False [  145413.459896] 0003 0036 0000020e
2022-04-02 13:58:19.561536 False [  145413.468346] 0003 0035 00000186
2022-04-02 13:58:19.561536 False [  145413.468346] 0003 0036 0000020f
2022-04-02 13:58:19.570587 False [  145413.476615] 0003 0035 00000188
2022-04-02 13:58:19.579749 False [  145413.485069] 0003 0036 00000211
2022-04-02 13:58:19.586843 False [  145413.493145] 0003 0035 00000189
2022-04-02 13:58:19.586843 False [  145413.493145] 0003 0036 00000212
2022-04-02 13:58:19.596153 False [  145413.501733] 0003 0035 0000018b
2022-04-02 13:58:19.596153 False [  145413.501733] 0003 0036 00000213
2022-04-02 13:58:19.602756 False [  145413.509938] 0003 0035 0000018c
2022-04-02 13:58:19.602756 False [  145413.509938] 0003 0036 00000214
2022-04-02 13:58:19.613075 False [  145413.518522] 0003 0036 00000215
2022-04-02 13:58:19.621633 False [  145413.526407] 0003 0035 0000018d
2022-04-02 13:58:19.621633 False [  145413.526407] 0003 0036 00000216
2022-04-02 13:58:19.630217 False [  145413.534817] 0003 0035 0000018f
