Mode = area stim
    verts = 22 
    radius = 550 
    center = (800, 1280) 
    first_angle = 0.901435743010982 
    wm_size = [1600 2560] 
    stim_amp = 6 
    baseline_stim = 4
    current_stim_group = audio
    sense_zone = 0
    ===============================
2022-04-02 16:54:59.463216 True [  156022.657315] 0003 0035 000004aa
2022-04-02 16:54:59.463216 True [  156022.657315] 0003 0036 000003f7
2022-04-02 16:54:59.471903 True [  156022.665738] 0003 0035 000004ae
2022-04-02 16:54:59.471903 True [  156022.665738] 0003 0036 000003f9
2022-04-02 16:54:59.480137 True [  156022.673946] 0003 0035 000004b1
2022-04-02 16:54:59.480137 True [  156022.673946] 0003 0036 000003fb
2022-04-02 16:54:59.487400 True [  156022.682354] 0003 0035 000004b4
2022-04-02 16:54:59.487400 True [  156022.682354] 0003 0036 000003fe
2022-04-02 16:54:59.497196 True [  156022.690573] 0003 0035 000004b7
2022-04-02 16:54:59.497196 True [  156022.690573] 0003 0036 000003ff
2022-04-02 16:54:59.503643 True [  156022.698944] 0003 0035 000004ba
2022-04-02 16:54:59.503643 True [  156022.698944] 0003 0036 00000403
2022-04-02 16:54:59.513238 True [  156022.708131] 0003 0035 000004be
2022-04-02 16:54:59.514370 True [  156022.708131] 0003 0036 00000405
2022-04-02 16:54:59.520321 True [  156022.715564] 0003 0035 000004c0
2022-04-02 16:54:59.521753 True [  156022.715564] 0003 0036 00000408
2022-04-02 16:54:59.530572 True [  156022.723806] 0003 0035 000004c2
2022-04-02 16:54:59.530572 True [  156022.723806] 0003 0036 0000040a
2022-04-02 16:54:59.537794 True [  156022.732264] 0003 0035 000004c4
2022-04-02 16:54:59.537794 True [  156022.732264] 0003 0036 0000040c
2022-04-02 16:54:59.545838 True [  156022.740396] 0003 0035 000004c5
2022-04-02 16:54:59.545838 True [  156022.740396] 0003 0036 0000040e
2022-04-02 16:54:59.553220 True [  156022.748782] 0003 0035 000004c6
2022-04-02 16:54:59.553220 True [  156022.748782] 0003 0036 0000040f
2022-04-02 16:54:59.562138 True [  156022.757037] 0003 0035 000004c7
2022-04-02 16:54:59.562138 True [  156022.757037] 0003 0036 00000410
2022-04-02 16:54:59.570827 True [  156022.765451] 0003 0035 000004c8
2022-04-02 16:54:59.586892 True [  156022.782031] 0003 0035 000004c7
2022-04-02 16:54:59.595506 True [  156022.790262] 0003 0035 000004c6
2022-04-02 16:54:59.595506 True [  156022.790262] 0003 0036 0000040e
2022-04-02 16:54:59.603454 True [  156022.798666] 0003 0035 000004c5
2022-04-02 16:54:59.603454 True [  156022.798666] 0003 0036 0000040d
